User_ID,UTC_Time,Account,Operation,Coin,Change,Remark
60091047,2023-07-27 03:15:06,Spot,Simple Earn Flexible Subscription,USDT,-9.2e-06,Binance Earn
60091047,2023-07-27 08:00:00,USD-M Futures,Funding Fee,USDT,0.00337776,
60091047,2023-07-27 14:14:50,USD-M Futures,Realized Profit and Loss,USDT,0.189,TradeID - 3970790168
60091047,2023-07-27 14:14:50,USD-M Futures,Fee,USDT,-0.01764,TradeID - 3970790168
60091047,2023-07-28 02:32:25,Spot,Simple Earn Flexible Interest,USDT,9.2e-06,Binance Earn
60091047,2023-07-28 03:13:48,Spot,Simple Earn Flexible Subscription,USDT,-9.2e-06,Binance Earn
60091047,2023-07-29 02:17:48,Spot,Simple Earn Flexible Interest,USDT,9.2e-06,Binance Earn
60091047,2023-07-29 03:13:31,Spot,Simple Earn Flexible Subscription,USDT,-9.2e-06,Binance Earn
60091047,2023-07-29 14:28:35,Spot,Deposit,BRL,1000.0,
60091047,2023-07-29 14:29:57,Spot,Transaction Buy,USDT,209.2,
60091047,2023-07-29 14:29:57,Spot,Transaction Spend,BRL,-999.7668,
60091047,2023-07-29 14:29:57,Spot,Transaction Fee,USDT,-0.2092,
60091047,2023-07-29 17:37:38,Spot,Simple Earn Flexible Subscription,USDT,-0.31709,Binance Earn
60091047,2023-07-30 02:03:36,Spot,Simple Earn Flexible Interest,USDT,9.21e-06,Binance Earn
60091047,2023-07-30 03:14:26,Spot,Simple Earn Flexible Subscription,USDT,-9.21e-06,Binance Earn
60091047,2023-07-30 10:52:30,Spot,Transaction Spend,USDT,-208.67371,
60091047,2023-07-30 10:52:30,Spot,Transaction Fee,BTC,-7.13e-06,
60091047,2023-07-30 10:52:30,Spot,Transaction Buy,BTC,0.00713,
60091047,2023-07-30 17:31:50,Spot,Simple Earn Flexible Subscription,BTC,-0.00712287,Binance Earn
60091047,2023-07-31 02:18:17,Spot,Simple Earn Flexible Interest,USDT,2.224e-05,Binance Earn
60091047,2023-07-31 03:12:14,Spot,Simple Earn Flexible Subscription,USDT,-2.224e-05,Binance Earn
60091047,2023-08-01 02:08:54,Spot,Simple Earn Flexible Interest,USDT,2.224e-05,Binance Earn
60091047,2023-08-01 02:09:59,Spot,Simple Earn Flexible Interest,BTC,4e-08,Binance Earn
60091047,2023-08-01 02:34:21,Spot,Simple Earn Flexible Subscription,BTC,-4e-08,Binance Earn
60091047,2023-08-01 03:09:18,Spot,Simple Earn Flexible Subscription,USDT,-2.224e-05,Binance Earn
60091047,2023-08-02 02:01:33,Spot,Simple Earn Flexible Interest,BTC,4e-08,Binance Earn
60091047,2023-08-02 02:13:14,Spot,Simple Earn Flexible Interest,USDT,2.224e-05,Binance Earn
60091047,2023-08-02 02:35:17,Spot,Simple Earn Flexible Subscription,BTC,-4e-08,Binance Earn
60091047,2023-08-02 03:07:01,Spot,Simple Earn Flexible Subscription,USDT,-2.224e-05,Binance Earn
60091047,2023-08-03 02:08:01,Spot,Simple Earn Flexible Interest,BTC,4e-08,Binance Earn
60091047,2023-08-03 02:13:04,Spot,Simple Earn Flexible Interest,USDT,2.224e-05,Binance Earn
60091047,2023-08-03 02:34:36,Spot,Simple Earn Flexible Subscription,BTC,-4e-08,Binance Earn
60091047,2023-08-03 03:08:38,Spot,Simple Earn Flexible Subscription,USDT,-2.224e-05,Binance Earn
60091047,2023-08-04 02:03:43,Spot,Simple Earn Flexible Interest,BTC,4e-08,Binance Earn
60091047,2023-08-04 02:11:39,Spot,Simple Earn Flexible Interest,USDT,2.224e-05,Binance Earn
60091047,2023-08-04 02:33:47,Spot,Simple Earn Flexible Subscription,BTC,-4e-08,Binance Earn
60091047,2023-08-04 03:07:06,Spot,Simple Earn Flexible Subscription,USDT,-2.224e-05,Binance Earn
60091047,2023-08-05 03:24:48,Spot,Simple Earn Flexible Interest,BTC,4e-08,Binance Earn
60091047,2023-08-05 03:29:41,Spot,Simple Earn Flexible Interest,USDT,2.225e-05,Binance Earn
60091047,2023-08-05 17:33:39,Spot,Simple Earn Flexible Subscription,BTC,-4e-08,Binance Earn
60091047,2023-08-05 17:57:06,Spot,Simple Earn Flexible Subscription,USDT,-2.225e-05,Binance Earn
60091047,2023-08-06 02:03:42,Spot,Simple Earn Flexible Interest,BTC,4e-08,Binance Earn
60091047,2023-08-06 02:05:01,Spot,Simple Earn Flexible Interest,USDT,2.225e-05,Binance Earn
60091047,2023-08-06 02:34:36,Spot,Simple Earn Flexible Subscription,BTC,-4e-08,Binance Earn
60091047,2023-08-06 03:07:48,Spot,Simple Earn Flexible Subscription,USDT,-2.225e-05,Binance Earn
60091047,2023-08-07 02:01:30,Spot,Simple Earn Flexible Interest,BTC,4e-08,Binance Earn
60091047,2023-08-07 02:04:35,Spot,Simple Earn Flexible Interest,USDT,2.225e-05,Binance Earn
60091047,2023-08-07 02:33:51,Spot,Simple Earn Flexible Subscription,BTC,-4e-08,Binance Earn
60091047,2023-08-07 03:08:20,Spot,Simple Earn Flexible Subscription,USDT,-2.225e-05,Binance Earn
60091047,2023-08-08 02:10:52,Spot,Simple Earn Flexible Interest,BTC,4e-08,Binance Earn
60091047,2023-08-08 02:11:53,Spot,Simple Earn Flexible Interest,USDT,2.225e-05,Binance Earn
60091047,2023-08-08 02:34:21,Spot,Simple Earn Flexible Subscription,BTC,-4e-08,Binance Earn
60091047,2023-08-08 03:09:15,Spot,Simple Earn Flexible Subscription,USDT,-2.225e-05,Binance Earn
60091047,2023-08-09 02:07:02,Spot,Simple Earn Flexible Interest,USDT,2.226e-05,Binance Earn
60091047,2023-08-09 02:10:35,Spot,Simple Earn Flexible Interest,BTC,4e-08,Binance Earn
60091047,2023-08-09 02:34:54,Spot,Simple Earn Flexible Subscription,BTC,-4e-08,Binance Earn
60091047,2023-08-09 03:10:01,Spot,Simple Earn Flexible Subscription,USDT,-2.226e-05,Binance Earn
60091047,2023-08-10 02:07:26,Spot,Simple Earn Flexible Interest,USDT,2.226e-05,Binance Earn
60091047,2023-08-10 02:10:46,Spot,Simple Earn Flexible Interest,BTC,4e-08,Binance Earn
60091047,2023-08-10 02:34:36,Spot,Simple Earn Flexible Subscription,BTC,-4e-08,Binance Earn
60091047,2023-08-10 03:07:32,Spot,Simple Earn Flexible Subscription,USDT,-2.226e-05,Binance Earn
60091047,2023-08-11 02:03:38,Spot,Simple Earn Flexible Interest,BTC,4e-08,Binance Earn
60091047,2023-08-11 02:13:36,Spot,Simple Earn Flexible Interest,USDT,2.226e-05,Binance Earn
60091047,2023-08-11 02:34:10,Spot,Simple Earn Flexible Subscription,BTC,-4e-08,Binance Earn
60091047,2023-08-11 03:08:29,Spot,Simple Earn Flexible Subscription,USDT,-2.226e-05,Binance Earn
60091047,2023-08-12 02:06:28,Spot,Simple Earn Flexible Interest,BTC,4e-08,Binance Earn
60091047,2023-08-12 02:11:46,Spot,Simple Earn Flexible Interest,USDT,2.226e-05,Binance Earn
60091047,2023-08-12 02:33:37,Spot,Simple Earn Flexible Subscription,BTC,-4e-08,Binance Earn
60091047,2023-08-12 03:06:31,Spot,Simple Earn Flexible Subscription,USDT,-2.226e-05,Binance Earn
60091047,2023-08-12 22:27:11,Spot,Deposit,BRL,1000.0,
60091047,2023-08-13 02:08:13,Spot,Simple Earn Flexible Interest,USDT,2.227e-05,Binance Earn
60091047,2023-08-13 02:14:04,Spot,Simple Earn Flexible Interest,BTC,4e-08,Binance Earn
60091047,2023-08-13 02:34:07,Spot,Simple Earn Flexible Subscription,BTC,-4e-08,Binance Earn
60091047,2023-08-13 03:08:31,Spot,Simple Earn Flexible Subscription,USDT,-2.227e-05,Binance Earn
60091047,2023-08-14 02:13:54,Spot,Simple Earn Flexible Interest,USDT,2.227e-05,Binance Earn
60091047,2023-08-14 02:14:57,Spot,Simple Earn Flexible Interest,BTC,4e-08,Binance Earn
60091047,2023-08-14 02:34:18,Spot,Simple Earn Flexible Subscription,BTC,-4e-08,Binance Earn
60091047,2023-08-14 03:09:42,Spot,Simple Earn Flexible Subscription,USDT,-2.227e-05,Binance Earn
60091047,2023-08-14 12:34:17,Spot,Transaction Spend,BRL,-331.155,
60091047,2023-08-14 12:34:17,Spot,Transaction Spend,BRL,-148.5,
60091047,2023-08-14 12:34:17,Spot,Transaction Buy,USDT,82.2,
60091047,2023-08-14 12:34:17,Spot,Transaction Fee,USDT,-0.0822,
60091047,2023-08-14 12:34:17,Spot,Transaction Fee,BNB,-3.119e-05,
60091047,2023-08-14 12:34:17,Spot,Transaction Buy,USDT,66.9,
60091047,2023-08-14 12:34:17,Spot,Transaction Spend,BRL,-49.5,
60091047,2023-08-14 12:34:17,Spot,Transaction Fee,USDT,-0.013,
60091047,2023-08-14 12:34:17,Spot,Transaction Buy,USDT,13.0,
60091047,2023-08-14 12:34:17,Spot,Transaction Buy,USDT,10.0,
60091047,2023-08-14 12:34:17,Spot,Transaction Spend,BRL,-406.89,
60091047,2023-08-14 12:34:17,Spot,Transaction Spend,BRL,-64.35,
60091047,2023-08-14 12:34:17,Spot,Transaction Fee,USDT,-0.0669,
60091047,2023-08-14 12:34:17,Spot,Transaction Buy,USDT,30.0,
60091047,2023-08-14 12:34:17,Spot,Transaction Fee,BNB,-9.359e-05,
60091047,2023-08-14 12:59:56,Spot,Transaction Fee,BTC,-6.87e-06,
60091047,2023-08-14 12:59:56,Spot,Transaction Buy,BTC,0.00687,
60091047,2023-08-14 12:59:56,Spot,Transaction Spend,USDT,-201.87495,
60091047,2023-08-14 17:31:44,Spot,Simple Earn Flexible Subscription,BTC,-0.00686313,Binance Earn
60091047,2023-08-14 17:36:37,Spot,Simple Earn Flexible Subscription,USDT,-0.06295,Binance Earn
